Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
0,1,23809866, ,1.71E+13,479493,0.16,0.75,50,0.01,155.63,-0.3,0,0.35,0.15,0.44,0.03,0.01,26.04,29.28,30.33,30.64,32.63,21.26,23.45,23.87,23.99,25.23,2.19,2.61,2.73,3.97,2.48,0,0,0,0,0,0,0,0.63,0.41,0.37,0.35,0.23,0.75,0.59,0.55,0.54,0.44,0.03,0.01,0.01,0.01,0
1,3,23809914, ,1.71E+13,479145,1.91,1.91,54.3,0,281.58,-0.45,0,0.41,0.06,0.39,0.04,0.09,24.62,27.98,29.15,29.48,31.67,19.6,21.59,22.01,22.14,23.37,1.99,2.41,2.54,3.77,2.6,1,1,0,1,0,0.26,0,0.76,0.59,0.55,0.53,0.41,0.85,0.73,0.7,0.69,0.6,0.07,0.03,0.02,0.02,0.01
2,6,23809948, ,1.71E+13,479546,2.69,2.69,53.92,0,351.22,0.24,0,0.4,0.05,0.26,0.27,0.01,24.19,28,29.14,29.47,31.61,20,22.04,22.45,22.58,23.82,2.04,2.45,2.58,3.82,2.43,0,0,0,0,0,0.28,0,0.74,0.55,0.51,0.49,0.36,0.84,0.7,0.67,0.66,0.56,0.06,0.02,0.01,0.01,0.01
3,10,23810026, ,1.71E+13,479482,0.87,0.87,75,0,1353.61,-0.4,0,0.97,0,0,0,0.03,20.74,21.48,22.51,22.89,25.05,11.14,12.12,12.51,12.67,13.93,0.98,1.37,1.53,2.79,2.48,0,0,0,0,0,0,0,0.9,0.93,0.93,0.95,0.96,0.75,0.82,0.84,0.86,0.9,0.79,0.68,0.64,0.62,0.5
4,11,23810036, ,1.71E+13,479539,0.88,0.88,74.05,0,1397.44,-0.29,0,0.87,0,0,0.03,0.1,20.72,22.19,23.25,23.63,25.76,11.31,12.31,12.7,12.86,14.12,1,1.39,1.55,2.81,2.75,0,0,0,0,0,0,0,0.89,0.93,0.94,0.93,0.95,0.75,0.81,0.84,0.84,0.9,0.75,0.66,0.62,0.59,0.48
5,12,23810054, ,1.71E+13,479505,0.91,0.91,75,0,1390.34,0.43,0,0.78,0,0,0.15,0.07,21.13,22.55,23.58,23.97,26.13,12.37,13.49,13.89,14.04,15.3,1.12,1.52,1.67,2.93,2.66,0,0,0,0,0,0,0,0.94,0.95,0.95,0.95,0.94,0.83,0.88,0.89,0.89,0.93,0.65,0.54,0.49,0.48,0.35
6,18,23810186, ,1.71E+13,479607,0.4,1.82,80.4,0,1296.25,0.13,0.99,0.96,0,0,0.01,0.01,21.92,22.55,23.58,24.02,26.17,10.19,11.06,11.45,11.61,12.87,0.87,1.26,1.42,2.68,2.36,0,0,0,0,0,0.39,0,0.85,0.9,0.91,0.92,0.95,0.68,0.75,0.78,0.78,0.86,0.83,0.77,0.74,0.75,0.6
7,19,23810342, ,1.71E+13,479402,0.38,0.38,67,0.22,1540.45,-0.35,0,0.05,0,0,0.91,0.04,21.67,22.38,23.36,23.76,25.85,13.31,14.55,14.95,15.1,16.35,1.24,1.64,1.79,3.04,2.8,0,0,0,0,0,0,0,0.94,0.94,0.94,0.94,0.92,0.87,0.91,0.92,0.93,0.94,0.55,0.41,0.39,0.37,0.26
8,24,23810420, ,1.71E+13,479646,0.17,1.65,76.14,0.02,1402.67,0.47,1,0.96,0,0,0.03,0.01,20.84,22.7,23.66,24.14,26.25,7.63,8.19,8.56,8.73,10.01,0.56,0.93,1.1,2.38,2.58,0,0,0,0,0,0.25,0,0.68,0.73,0.74,0.75,0.84,0.47,0.51,0.54,0.56,0.66,0.82,0.85,0.84,0.84,0.82
9,25,23810426, ,1.71E+13,479600,1.16,1.16,77,0.04,1341.82,-0.61,0.14,0.94,0,0,0.04,0.01,21.3,23.64,24.62,25.08,27.21,10.73,11.66,12.04,12.2,13.47,0.93,1.31,1.47,2.74,2.46,0,0,0,0,0,0,0,0.87,0.91,0.93,0.93,0.95,0.73,0.78,0.81,0.82,0.88,0.79,0.72,0.68,0.69,0.53
