"SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
0.0025,-0.0217,37.4715,49.42,0.0149,0.0057,0.0535,0.0943,1.4073,0.174,0.0076,54.651,20.3812,0.7221,0.1913,2177.7042,0,0.3966,0.0618,0.0023,0,0.1189,2.3845,20.2978,6.963,0.0415,0.12,0,0.1815,0.0076,0,1.3135,7.7289,24.7514,27.6241,29.4555,1221.3693,130.6881,20.3487,972.4293,0.266
0,-0.0938,206.372,57.8,0,0.0057,0,0.1243,1.2948,0.232,0.0071,59.0977,22.3373,0.7621,0.2203,1633.3186,0.1811,0.0018,0,0.0501,0,0.0239,1.3709,44.3068,22.4011,0.0014,0,0.012,0,0.5013,0,0.0028,13.3688,28.4443,23.5194,25.3273,1430.2279,167.0089,17.2324,1139.4658,0.254
0.012,-0.0348,208.398,59.37,0,0.0059,0,0.1096,1.2704,0.2428,0.0074,59.9144,22.6532,0.7155,0.7155,1560.7704,0.028,0,0,0,0,0,2.0862,31.3415,17.9867,0,0,0,0,0,0,4.5514,14.8591,26.9627,23.3513,25.2246,1508.3497,170.3414,17.1097,1207.6884,0.395
0.0343,0.0152,205.277,55.77,8e-04,6e-04,0,5e-04,1.4872,0,0.002,61.2381,20.2377,0.8724,0.1126,82.4145,6e-04,0,0,0.014,0,0.0206,1.0189,52.7243,21.5584,0.0104,0,0,0,0.125,0,0.3419,23.4293,61.4543,23.8295,25.3258,1334.7888,157.8476,17.2365,1061.9723,0.363
0.0099,-0.2863,42.2901,50.05,0.0484,0.0016,0.5069,0.0109,1.3897,0,0.0099,24.2355,8.9912,0.2044,0.0673,10.8379,0,0.5203,0.0106,0.0011,0,0.0503,1.4518,22.9057,8.1534,0.0697,0.3767,0,0.0309,0.0011,0,1.6817,9.8367,26.7539,27.5272,29.3286,1252.2547,137.315,20.2457,992.3274,0.409
0.0299,0.2348,79.4581,48.74,0.4008,9e-04,0.3409,0,3.3295,0,0.0112,16.5096,5.5037,0.1491,0.0104,8.9729,0,0.3094,0.0202,0.0012,0,0.2452,2.1817,25.4278,9.1051,0.0604,0.0858,0,0.1531,0.0039,0,1.6267,16.5793,45.1442,27.3292,29.1157,1235.7558,134.3734,19.8556,973.8447,0.298
0.0164,-0.0992,28.7229,50,0.0498,0.0014,0.2446,0.0347,1.2956,0,0.0066,37.0097,13.3348,0.4641,0.2257,187.7693,0,0.1324,0.025,0,0,0.2777,5.023,28.4712,10.0515,0.1916,0.0877,0,0.2275,7e-04,0,4.6298,12.3873,34.8963,27.5203,29.3108,1239.0678,130.4894,20.1747,974.7761,0.524
0.0044,-0.1099,55.8068,50,0.0367,0.0014,0.2106,0.0391,1.188,0,0.0064,39.6924,14.2961,0.4889,0.2492,166.8385,0,0.5063,4e-04,0.0014,0,0.033,0.4206,19.8372,7.362,0,0.208,0,0.0026,0,0,0,13.9647,36.8415,27.4801,29.2767,1256.059,135.6103,20.1872,991.2317,0.526
0.0058,-0.0055,107.412,51.89,0.0246,0.0013,0.1366,0.0579,0.9921,0,0.0057,44.1045,15.9148,0.484,0.3289,111.8772,0,0.3968,0.0042,5e-04,0,0.096,2.5067,25.4835,9.1135,0.1304,0.2485,0,0.0017,0,0,3.3699,10.5607,29.0253,26.8495,28.5934,1307.5257,156.0681,19.6134,1011.9496,0.505
0.0085,-0.0628,168.52,53.39,0.022,0.0014,0.0909,0.0719,0.9938,0,0.0053,46.0522,16.5736,0.4644,0.3805,90.0884,0,0.2853,0.0045,0.0018,0,0.0427,1.1347,37.5344,13.9893,0,0.0108,0,0.0156,0.0018,0,0.0584,21.2231,55.8061,25.5602,27.3729,1319.3261,159.3337,18.1881,1031.0062,0.47
