"","SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
"SLOPE",NA,0.164447827446409,1.65632919384429e-05,0.0122436793223253,0.139642006024252,0.00424296951854641,0.0965182962071363,0.0102421115290678,0.485069065015603,0.577912502344414,0.0687855761179637,0.30134314659768,0.35762619868654,0.832493924070991,0.00989021062866202,1.88737914186277e-14,0.287354054450885,0.00550211478792328,0.056084393203486,0.416616776247986,0.114151240799881,0.0176657112687799,0.00453786716413807,0.000544515520317645,0.0159079058157707,0.0819916844978603,0.00355914430788573,0.472536672583936,0.0899606816886664,0.145262906721694,0.269890381323087,0.224992257002103,2.4146971190131e-05,1.09367492173718e-07,0.000306191003488721,0.007760923536966,0.00136597236496483,0.274555705532446,4.97542600941259e-06,0.00217160158628982,0.0163772428896105
"Solar",0.164447827446409,NA,0.0611142540376972,0.0174324515732049,0.0481840182762974,0.0526118696986679,0.117785328968211,5.79029274458964e-05,0.38062508475153,0.00427935555045966,0.110090359586573,0.706653371528027,0.467042597183285,0.629999796192229,0.00225484469192461,0.162296784281219,0.156097470301401,0.4289361226234,0.092043816824507,0.507255888377047,8.61958850473243e-06,0.231416845115641,0.441278103451608,0.439693666334837,0.282118605529534,0.308361482602886,0.731153185469269,0.209251104460511,0.108647143843934,0.847114483403192,0.00094281445612987,0.669714913190862,0.497224933719165,0.433012710722491,0.389951319753,0.869315098014776,0.0915889611698413,0.343456342286011,0.0793218614360525,0.0819173338765842,0.0871419089793795
"Elev",1.65632919384429e-05,0.0611142540376972,NA,0,0,0.743370289735896,4.44089209850063e-15,0.0862360499277282,0.00244450661122819,2.00724667553942e-07,1.28857461518805e-05,3.57453560577703e-05,3.97397581508585e-09,0.00438012253386111,0.794732104348812,0.0362579045576759,0.370126786760513,0,0.00026763732675783,2.35792663061396e-06,2.87684054356419e-09,0,0.0241898681799331,0,0,2.95381497039671e-11,8.88178419700125e-15,0.605802474861063,0.00162770999951545,9.43583193357966e-07,9.28253010901159e-07,0.787643367927269,3.85398379876278e-11,1.04923758570408e-08,2.07904345739252e-07,0.0116420544776716,0,0.257125902620239,3.99680288865056e-15,0,2.24975593710042e-11
"BFI",0.0122436793223253,0.0174324515732049,0,NA,0,0.807593789219965,0,0.00108527919366508,0.00362586040970547,3.73034936274053e-13,1.22569727747379e-05,5.87900471415992e-07,3.09530179265494e-13,2.30636567080111e-05,0.129924159034393,0.77187009815075,0.021172402509865,0,0.000328745317966783,1.2107872691125e-06,1.07936504178952e-09,0,0.250880068122158,4.73843186910017e-13,0,1.41651135265874e-11,6.97220059464598e-14,0.0820411364688742,0.00197522684556306,2.77497429923557e-07,8.22601378347443e-07,0.72016298126345,8.06836755185003e-08,0.000609227885844721,3.04117405014459e-05,0.11131488787611,1.33226762955019e-15,0.0295024184579309,1.76596204326529e-09,4.44089209850063e-16,1.77635683940025e-15
"h2oDevelop",0.139642006024252,0.0481840182762974,0,0,NA,0.897421495634477,0,0.000116649689078319,3.56999654642642e-05,3.57830964858863e-08,2.16174239930922e-06,1.42800216096362e-10,1.28785870856518e-14,8.72347849734112e-06,0.066594106805324,0.126348894336262,0.00115899910962813,0,2.56589691742803e-05,6.28111967770906e-07,0.000109266543630415,0,0.196713743835373,4.85833595575969e-13,0,3.5527136788005e-15,0,0.0391781166769771,5.5171510437102e-05,4.6971799161355e-07,0.00156735083849791,0.631079811092183,3.29844196622631e-06,0.00775232772308843,2.34003444177233e-07,0.00688028586553102,0,0.677854922629834,1.63277968923126e-09,0,5.65063551505318e-11
"h2oLakesPe",0.00424296951854641,0.0526118696986679,0.743370289735896,0.807593789219965,0.897421495634477,NA,0.850799242519058,4.6166831581651e-05,0.16151874497155,0.00731972064853048,7.32714484641406e-08,0.126465792627243,0.450352300517594,0.365732028361045,0.000107766354663585,0.000676032604841836,0.0343010521500196,0.531434098790613,0.047859764413281,0.067162546957054,0.076569514057258,0.463811283179901,0.393364097053717,0.366993880193138,0.900285591800684,0.672454021308292,0.580959791161514,0.174484400643077,0.221749973119887,0.276218024039763,0.184483881921274,0.358691131644909,0.200428629103439,0.0464324845632493,0.742244126541659,0.76511646204856,0.848215299790725,0.587875654182477,0.883186881186966,0.968505272083924,0.19690788011752
"h2oAgricul",0.0965182962071363,0.117785328968211,4.44089209850063e-15,0,0,0.850799242519058,NA,0.000166421071078338,7.84160298294978e-05,2.17783011624562e-07,9.24078457753552e-07,2.11830775143085e-10,2.22044604925031e-13,5.58078729873124e-06,0.0492302630860584,0.125955597214675,0.0009368441491171,0,2.04758074100475e-05,6.40651045946683e-06,0.000163162133992367,0,0.131789986009215,1.48170364866473e-12,0,7.73603403558809e-13,0,0.032252859987604,6.91406194837096e-05,1.76938578753116e-05,0.00204308488412752,0.915181890217784,1.92763979756094e-06,0.00758278136682744,6.47783089391396e-08,0.00273220686608155,0,0.899789745588657,1.38639943969565e-09,0,6.88983980978719e-10
"h2oBurnPer",0.0102421115290678,5.79029274458964e-05,0.0862360499277282,0.00108527919366508,0.000116649689078319,4.6166831581651e-05,0.000166421071078338,NA,0.0175332016564025,0.00550203778318403,0.257206800959947,0.461575208691319,0.59166843711558,0.0942458592909605,0,7.1890927932472e-05,8.44913583541995e-09,0.0033958457555241,0.974746812205486,0.0870574250922851,0.0181603657948015,0.0130020846568222,0.872688839877981,0.630168350789657,0.0466176334108945,0.0205208726232873,0.122167654974381,1.7898820142026e-05,0.588161417347266,0.103560609302836,0.050247878949444,0.322630934428668,0.802162249689408,0.014612919687844,0.0656540112598683,0.572674173549447,0.00184800936707941,0.981580055310726,0.0638193081488578,0.00200101976869727,0.0392705045564825
"h2oRdDens",0.485069065015603,0.38062508475153,0.00244450661122819,0.00362586040970547,3.56999654642642e-05,0.16151874497155,7.84160298294978e-05,0.0175332016564025,NA,0.4494238229355,0.000212196077266968,0.0153202444390004,0.0132039093268952,0.0344887921027537,0.0047543624865829,0.505039849212679,0.0360058341502723,0.000208314167671642,0.191785998658272,0.0363546003760089,0.621492936022278,1.12946512778045e-05,0.00155554598521834,0.000278105585538757,0.000210852937528649,4.07031540827774e-05,3.83956286462706e-05,0.0415826628470941,0.0388112282392827,0.0256837511024344,0.821720828831439,0.0188331268024275,0.000104482612763412,0.00721469267474606,3.30886103450112e-06,3.13650368628515e-05,1.91090514078951e-07,0.000975713410861445,2.11805830221401e-05,4.48699743582637e-07,0.833025886034055
"h2oHiCascP",0.577912502344414,0.00427935555045966,2.00724667553942e-07,3.73034936274053e-13,3.57830964858863e-08,0.00731972064853048,2.17783011624562e-07,0.00550203778318403,0.4494238229355,NA,0.256060478751794,0.000388080072799335,7.95107890638747e-09,6.64362418290043e-05,0.293162265610639,0.0075724831156494,0.677448968198364,5.27915067483065e-06,0.112205906571517,0.000777114589296524,1.86539672597519e-12,1.46696509462085e-05,0.0764746236418068,0.000100246761876921,7.86258125007322e-06,0.000896128979288369,0.00167053867873879,0.892414971121283,0.536123906678791,0.00470356865144628,2.92394064071999e-07,0.403352351492787,0.113929262579147,0.414295628972885,0.856697383782868,0.0395375379462082,0.00802648722953325,1.70630474194411e-08,0.0551819675093164,0.00498163312563005,8.88178419700125e-16
