deploy,date,Year,time,tempC
ORCUB001IN02,1/1/2021,2021,0:00,3.538
ORCUB001IN02,1/1/2021,2021,1:00,3.538
ORCUB001IN02,1/1/2021,2021,2:00,3.564
ORCUB001IN02,1/1/2021,2021,3:00,3.591
ORCUB001IN02,1/1/2021,2021,4:00,3.591
ORCUB001IN02,1/1/2021,2021,5:00,3.617
ORCUB001IN02,1/1/2021,2021,6:00,3.643
ORCUB001IN02,1/1/2021,2021,7:00,3.67
ORCUB001IN02,1/1/2021,2021,8:00,3.67
ORCUB001IN02,1/1/2021,2021,9:00,3.696
ORCUB001IN02,1/1/2021,2021,10:00,3.722
ORCUB001IN02,1/1/2021,2021,11:00,3.775
ORCUB001IN02,1/1/2021,2021,12:00,3.854
ORCUB001IN02,1/1/2021,2021,13:00,3.985
ORCUB001IN02,1/1/2021,2021,14:00,4.037
ORCUB001IN02,1/1/2021,2021,15:00,4.063
ORCUB001IN02,1/1/2021,2021,16:00,4.089
ORCUB001IN02,1/1/2021,2021,17:00,4.115
ORCUB001IN02,1/1/2021,2021,18:00,4.115
ORCUB001IN02,1/1/2021,2021,19:00,4.089
ORCUB001IN02,1/1/2021,2021,20:00,4.089
ORCUB001IN02,1/1/2021,2021,21:00,4.037
ORCUB001IN02,1/1/2021,2021,22:00,3.958
ORCUB001IN02,1/1/2021,2021,23:00,3.854
ORCUB001IN02,1/2/2021,2021,0:00,3.722
ORCUB001IN02,1/2/2021,2021,1:00,3.643
ORCUB001IN02,1/2/2021,2021,2:00,3.564
ORCUB001IN02,1/2/2021,2021,3:00,3.564
ORCUB001IN02,1/2/2021,2021,4:00,3.591
ORCUB001IN02,1/2/2021,2021,5:00,3.643
ORCUB001IN02,1/2/2021,2021,6:00,3.696
ORCUB001IN02,1/2/2021,2021,7:00,3.722
ORCUB001IN02,1/2/2021,2021,8:00,3.749
ORCUB001IN02,1/2/2021,2021,9:00,3.775
ORCUB001IN02,1/2/2021,2021,10:00,3.801
ORCUB001IN02,1/2/2021,2021,11:00,3.854
ORCUB001IN02,1/2/2021,2021,12:00,3.906
ORCUB001IN02,1/2/2021,2021,13:00,3.958
ORCUB001IN02,1/2/2021,2021,14:00,3.985
ORCUB001IN02,1/2/2021,2021,15:00,3.985
ORCUB001IN02,1/2/2021,2021,16:00,3.958
ORCUB001IN02,1/2/2021,2021,17:00,3.958
ORCUB001IN02,1/2/2021,2021,18:00,3.906
ORCUB001IN02,1/2/2021,2021,19:00,3.88
ORCUB001IN02,1/2/2021,2021,20:00,3.854
ORCUB001IN02,1/2/2021,2021,21:00,3.854
ORCUB001IN02,1/2/2021,2021,22:00,3.827
ORCUB001IN02,1/2/2021,2021,23:00,3.827
ORCUB001IN02,1/3/2021,2021,0:00,3.801
ORCUB001IN02,1/3/2021,2021,1:00,3.775
ORCUB001IN02,1/3/2021,2021,2:00,3.775
ORCUB001IN02,1/3/2021,2021,3:00,3.749
ORCUB001IN02,1/3/2021,2021,4:00,3.749
ORCUB001IN02,1/3/2021,2021,5:00,3.749
ORCUB001IN02,1/3/2021,2021,6:00,3.696
ORCUB001IN02,1/3/2021,2021,7:00,3.617
ORCUB001IN02,1/3/2021,2021,8:00,3.564
ORCUB001IN02,1/3/2021,2021,9:00,3.538
ORCUB001IN02,1/3/2021,2021,10:00,3.538
ORCUB001IN02,1/3/2021,2021,11:00,3.591
ORCUB001IN02,1/3/2021,2021,12:00,3.67
ORCUB001IN02,1/3/2021,2021,13:00,3.749
ORCUB001IN02,1/3/2021,2021,14:00,3.801
ORCUB001IN02,1/3/2021,2021,15:00,3.854
ORCUB001IN02,1/3/2021,2021,16:00,3.906
ORCUB001IN02,1/3/2021,2021,17:00,3.932
ORCUB001IN02,1/3/2021,2021,18:00,3.958
ORCUB001IN02,1/3/2021,2021,19:00,3.985
ORCUB001IN02,1/3/2021,2021,20:00,4.011
ORCUB001IN02,1/3/2021,2021,21:00,4.011
ORCUB001IN02,1/3/2021,2021,22:00,4.037
ORCUB001IN02,1/3/2021,2021,23:00,4.037
ORCUB001IN02,1/4/2021,2021,0:00,4.037
ORCUB001IN02,1/4/2021,2021,1:00,4.037
ORCUB001IN02,1/4/2021,2021,2:00,4.063
ORCUB001IN02,1/4/2021,2021,3:00,4.063
ORCUB001IN02,1/4/2021,2021,4:00,4.037
ORCUB001IN02,1/4/2021,2021,5:00,4.063
ORCUB001IN02,1/4/2021,2021,6:00,4.063
ORCUB001IN02,1/4/2021,2021,7:00,4.063
ORCUB001IN02,1/4/2021,2021,8:00,4.089
ORCUB001IN02,1/4/2021,2021,9:00,4.115
ORCUB001IN02,1/4/2021,2021,10:00,4.141
ORCUB001IN02,1/4/2021,2021,11:00,4.194
ORCUB001IN02,1/4/2021,2021,12:00,4.272
ORCUB001IN02,1/4/2021,2021,13:00,4.272
ORCUB001IN02,1/4/2021,2021,14:00,4.168
ORCUB001IN02,1/4/2021,2021,15:00,4.037
ORCUB001IN02,1/4/2021,2021,16:00,3.906
ORCUB001IN02,1/4/2021,2021,17:00,3.854
ORCUB001IN02,1/4/2021,2021,18:00,3.854
ORCUB001IN02,1/4/2021,2021,19:00,3.88
ORCUB001IN02,1/4/2021,2021,20:00,3.827
ORCUB001IN02,1/4/2021,2021,21:00,3.643
ORCUB001IN02,1/4/2021,2021,22:00,3.617
ORCUB001IN02,1/4/2021,2021,23:00,3.591
ORCUB001IN02,1/5/2021,2021,0:00,3.617
ORCUB001IN02,1/5/2021,2021,1:00,3.643
ORCUB001IN02,1/5/2021,2021,2:00,3.67
ORCUB001IN02,1/5/2021,2021,3:00,3.67
ORCUB001IN02,1/5/2021,2021,4:00,3.67
ORCUB001IN02,1/5/2021,2021,5:00,3.643
ORCUB001IN02,1/5/2021,2021,6:00,3.643
