year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55306.33,0,380.96,0,25.7,13.64,1151.26
2021,183,55262.02,0,454.06,0,28.15,12.73,941.89
2021,184,55213.52,0,496.51,0,30.27,11.91,814.88
2021,185,55160.89,0,472.19,0,29.04,12.27,880.95
2021,186,55104.16,0,498.83,0,30.27,11.25,778.78
2021,187,55043.38,0,533.67,0,33.63,10.29,666.82
2021,188,54978.58,0,393.2,0,25.51,12.18,1013.21
2021,189,54909.83,0,454.45,0,26.26,9.84,753.1
2021,190,54837.18,0,534.59,0,32.1,8.47,547.88
2021,191,54760.67,0,472.37,0,30.32,11.86,773.32
2021,192,54680.38,0,491.64,0,31,10.82,677.04
2021,193,54596.35,0,461.49,0,29.14,11.12,748.3
2021,194,54508.64,0,486.72,0,31.09,10.87,687.91
2021,195,54417.33,0,424.26,0,28.74,12.31,876.64
2021,196,54322.47,0,393.14,0,25.7,10.96,875.91
2021,197,54224.13,0,387.64,0,23.97,9.68,827.46
2021,198,54122.37,0,455.64,0,27.01,8.95,675.11
2021,199,54017.27,0,480.86,0,29.94,9.81,662.17
2021,200,53908.9,0,428.25,0,28.24,11.52,836.38
2021,201,53797.32,0,406.36,0,25.49,10.21,821.29
2021,202,53682.6,0,333.17,0,21.01,9.31,917.52
2021,203,53564.82,0,450.48,0,25.47,7.88,650.75
2021,204,53444.05,0,489.02,0,28.95,8.18,596.5
2021,205,53320.35,0,503.32,0,32,9.61,565.19
2021,206,53193.81,0,466.37,0,30.86,11.54,662.89
2021,207,53064.49,0,468.9,0,30.91,11.38,653.32
2021,208,52932.47,0,341.78,0,26.36,13.81,1062.2
2021,209,52797.81,0,463.5,0,31.4,12.3,703.12
2021,210,52660.6,0,476.01,0,33.84,13.47,721.24
2021,211,52520.9,0,428.86,0,32.89,15.68,846.54
2021,212,52378.78,0,278.62,0,28.3,18.03,1407.26
2021,213,52234.31,0,419.4,0,32.81,16.13,827.12
2021,214,52087.57,0,477.89,0,34.51,13.94,592.73
2021,215,51938.62,0,426.9,0,32.14,15.05,726.98
2021,216,51787.53,0,467.17,0,33.25,13.46,577.48
2021,217,51634.37,0,261.88,0,23.54,14.26,1126.53
2021,218,51479.21,0,294.08,0,23.87,13.49,939.15
2021,219,51322.11,0,381.03,0,27.13,13.09,684.46
2021,220,51163.13,0,317.12,0,19.87,9.02,693.33
2021,221,51002.35,0,498.89,0,28.09,6.57,350.15
2021,222,50839.81,0,492.84,0,31.73,10.24,456.72
2021,223,50675.6,0,489.01,0,36.71,14.62,620.98
2021,224,50509.76,0,453.69,0,35.62,16.68,714.88
2021,225,50342.36,0,436.71,0,34.83,16.89,725.4
2021,226,50173.45,0,421.28,0,33.74,16.71,722.4
2021,227,50003.09,0,415.81,0,32.77,16.01,714.63
2021,228,49831.34,0,415.18,0,29.48,13.13,582.42
2021,229,49658.25,0,164.81,0,14.9,9.35,1061.9
2021,230,49483.87,0,402.32,0,23.72,8.72,444.81
2021,231,49308.27,0,377.49,0,24.06,10.37,460.94
2021,232,49131.49,0,231,0,18.92,11.07,816.27
2021,233,48953.57,0,257.23,0,18.43,9.81,647.53
2021,234,48774.57,0,299.93,0,18.04,8.07,495.43
2021,235,48594.54,0,435.7,0,21.1,4.78,306.56
2021,236,48413.53,0,470.94,0,24.41,4.93,309.98
2021,237,48231.57,0,448.63,0,24.72,7.03,362.06
2021,238,48048.72,0,366.55,0,21.47,8.67,407.86
2021,239,47865.01,0,353.38,0,20.91,8.8,411.86
2021,240,47680.49,0,483.86,0,27.3,5.44,321.95
2021,241,47495.2,0,462.7,0,28.3,8.45,401.57
2021,242,47309.19,0,318.42,0,19.19,8.33,398.03
2021,243,47122.48,0,359.31,0,19.2,6.56,349.7
