"","SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
"SLOPE",1,0.165609093490343,0.4839433562397,0.293816757033161,-0.175798742239442,-0.33314304093968,-0.197387692640067,-0.300809538277191,-0.0835993760746383,-0.0666704670763778,-0.215711194595095,0.123500278583591,0.110006759410309,-0.025365932449742,-0.302160243800645,-0.75480076500652,-0.127102097849159,-0.323959207583536,-0.226171906465064,-0.0972052642923905,0.187807980207215,-0.278915954497293,-0.330794537301347,0.397535814453557,0.28325331549776,-0.206371065577884,-0.339202421260737,-0.0860074782403975,-0.201300825781532,-0.173378012268165,0.131765099307558,-0.144774825497413,0.475659684605325,0.577460379312044,-0.413473064980847,-0.311363474764997,0.370300075040812,0.130500174136923,-0.509019845995678,0.355630266238535,-0.282056445785588
"Solar",0.165609093490343,1,-0.221820170148438,-0.279469591804976,0.233698326298302,-0.229365638606958,0.185978042161498,-0.455574850440124,0.104875539353532,-0.332845580395797,0.189906710387735,0.0451208828064047,-0.0870739773331011,0.0577351420480064,-0.354409411565102,-0.166445565904881,-0.168903032926755,0.0946690413694792,-0.200034142829594,0.0794153562356793,-0.497806475735909,0.142809607140989,-0.0921693819933522,-0.0924880590534086,-0.128479760698606,0.121734286035351,0.0411965010633407,-0.149761979175593,-0.190666994549709,-0.0231235278672561,-0.381560992298595,0.0511300884421687,0.0812949293192454,0.0938389540213248,0.102848228554788,-0.019733350498315,-0.200308786028128,0.113269753512333,0.208157094946773,-0.206420174120516,0.203052134577163
"Elev",0.4839433562397,-0.221820170148438,1,0.89768971662418,-0.804995967839594,-0.0392558509224774,-0.766329164799387,0.203624435717246,-0.351772048282409,0.567543934134177,-0.489343742580008,0.466806567309312,0.626401992061118,0.332033354518981,0.0311999935760901,-0.247264367396324,0.107193692572276,-0.805366970709938,-0.417087260369299,-0.523646661505962,0.630754245607487,-0.834555148029073,-0.265507647413759,0.824222833341374,0.79604702401055,-0.685928496621538,-0.760663250795694,0.061844038190574,-0.364832710154333,-0.540701921373334,0.54099861135361,-0.0323028679817484,0.683022145028224,0.61290426336019,-0.566959906370903,-0.295807266271807,0.836118304039851,-0.135302915845415,-0.766898792593439,0.846700654999828,-0.688868879465948
"BFI",0.293816757033161,-0.279469591804976,0.89768971662418,1,-0.898360633435193,0.0292054654633255,-0.859494063412623,0.377333703775307,-0.338567676478956,0.729314798962587,-0.490408980334941,0.549158981789237,0.731000556198394,0.47667985485755,0.180163082835273,0.0347666681882381,0.271267328354021,-0.846031476122844,-0.411547756356493,-0.5361502978799,0.643558331533982,-0.865115593990361,-0.137077513212799,0.727132369493388,0.792991147098347,-0.693787024277261,-0.744010283888906,0.206338422143431,-0.3586855701713,-0.562118643085507,0.543178484556846,0.0429513235769212,0.582307389680773,0.394332446421489,-0.470483221167899,-0.189267649359171,0.775308999405864,-0.256704703553852,-0.637202158392335,0.78278770920804,-0.772407477053438
"h2oDevelop",-0.175798742239442,0.233698326298302,-0.804995967839594,-0.898360633435193,1,0.0154630073763192,0.935635994621434,-0.438534384925822,0.46683564261877,-0.594888235104802,0.525304896081242,-0.668210008128072,-0.757968514834329,-0.497557538573627,-0.217397813045516,-0.181831099913537,-0.37534006305552,0.887929664040862,0.474304827367451,0.547990209371915,-0.44016386592024,0.914860267017317,0.153927796456527,-0.726903661940229,-0.803312792858378,0.767601543833928,0.792065631963234,-0.243634187884627,0.456717877448993,0.553090848058127,-0.366019219873567,-0.0575533232627494,-0.517155512978822,-0.311404904597805,0.564986374896762,0.315833397604673,-0.834180298919664,0.049795528185048,0.638224375329489,-0.841491825417257,0.678782164114513
"h2oLakesPe",-0.33314304093968,-0.229365638606958,-0.0392558509224774,0.0292054654633255,0.0154630073763192,1,0.0225596599257224,0.460898052886598,0.166750135508295,0.313543885265697,0.583826678288512,-0.18177599731107,-0.0903564898914677,-0.108175948582792,0.44050734354043,0.391335407289303,0.249835869933546,0.0749614539911818,0.234028280789598,0.21695608288389,0.210049119846086,0.087704412244557,0.10211360000251,-0.107893184029033,-0.0150290147356058,0.0506803244103991,0.0661380758429157,0.161809199950631,0.145781515914878,0.130052939282782,0.158178994587916,-0.109764786203418,-0.152674171129767,-0.235502888997382,0.0394343102707279,0.0358259420106613,-0.0229550212972987,-0.0649345198943237,0.0176230128415753,-0.00473598334133742,-0.15386186555195
"h2oAgricul",-0.197387692640067,0.185978042161498,-0.766329164799387,-0.859494063412623,0.935635994621434,0.0225596599257224,1,-0.429531623837085,0.448307123009495,-0.566186743247439,0.541080202072192,-0.663579642473516,-0.733966527278993,-0.506709446957705,-0.232645983249685,-0.182016774885932,-0.381750502264222,0.936014359349594,0.479309973937542,0.503910424025102,-0.4300393403039,0.855179017978873,0.179306406385731,-0.716460622529069,-0.804079456982055,0.722605031092995,0.798249460312377,-0.252662296526601,0.451343958690109,0.482507815873745,-0.357600148580799,0.0127747731862045,-0.527479515477045,-0.312230423176717,0.58575781506779,0.34810174756954,-0.827777299549022,0.0151041357103251,0.640344691494579,-0.836115489087354,0.649228091817847
"h2oBurnPer",-0.300809538277191,-0.455574850440124,0.203624435717246,0.377333703775307,-0.438534384925822,0.460898052886598,-0.429531623837085,1,-0.279229688755143,0.323959709656502,-0.135280123988002,-0.088142075827732,0.0642771930328649,-0.198719420725925,0.871427158117893,0.45040600747971,0.615971302302315,-0.340801923358283,-0.00379707421682852,-0.203105310357325,0.277762337074434,-0.291424942952383,0.0192195714665979,0.0577067575839073,0.23530951229812,-0.27260205095757,-0.183828094298801,0.482256756688282,-0.0648849277569033,-0.193410581030592,0.231639904344734,-0.11822217791901,0.0300467668469026,-0.286720836031182,-0.218135067069406,-0.0675886877148599,0.3608139801291,0.00276941466827222,-0.219598781728913,0.358269112596093,-0.243523061430162
"h2oRdDens",-0.0835993760746383,0.104875539353532,-0.351772048282409,-0.338567676478956,0.46683564261877,0.166750135508295,0.448307123009495,-0.279229688755143,1,0.0905410469464038,0.423227256102801,-0.284795523801117,-0.290808820583233,-0.2495839214131,-0.329155044763907,-0.079828926532634,-0.247589015326707,0.423710647426178,0.155617171599658,0.247140329732756,-0.0591718624580008,0.492142426254804,0.366256074333971,-0.416060979029944,-0.423393583437367,0.463820511687027,0.465165684368791,-0.240810199245654,0.244077651070707,0.262879090552062,-0.0270237667551098,0.27623579800388,-0.441274846816871,-0.314079888784605,0.517093885066876,0.469784200719733,-0.568359443767996,-0.380535815904421,0.478564312090752,-0.553886732716864,-0.0252841959836813
"h2oHiCascP",-0.0666704670763778,-0.332845580395797,0.567543934134177,0.729314798962587,-0.594888235104802,0.313543885265697,-0.566186743247439,0.323959709656502,0.0905410469464038,1,-0.135603538046469,0.407007524861381,0.61682579452368,0.452300539670376,0.12559296996193,0.312281084908615,0.0498619403093012,-0.507829630443913,-0.188806045376489,-0.387277070855924,0.714243580250112,-0.486566210100966,0.210115310103634,0.442298463111663,0.499709997783478,-0.383072870334862,-0.364014601217795,-0.0162221187550288,-0.0741093761919703,-0.32953367111717,0.561233566522643,0.0999849538218946,0.187921201796544,0.0976879343800422,-0.0216580940127001,0.243203083419937,0.310102921940406,-0.605896662681557,-0.226986011394114,0.327503592904933,-0.778181694982483
