"","Estimate","Standardized","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.323501359010108,NA,0.0275720238042024,11.7329566123761,2.17117000879694e-17
"SLOPE",-0.71561237394298,-0.135776510916192,0.389851672630783,-1.8356016510431,0.0712134120701703
"Solar",-0.106654596041511,-0.153375383617896,0.0636392716824983,-1.67592420877504,0.0987894229876674
"h2oLakesPe",-6.81214764472779,-0.148822301877449,4.03602824162069,-1.68783448403035,0.0964678659071746
"h2oHiCascP",-0.403894551760037,-0.675218953512312,0.0543755500057858,-7.42787064621987,3.8965010489436e-10
"h2oWetland",5.01405641937464,0.150377763059687,3.45462207925011,1.45140519117594,0.151708445648188
"Shrub21",0.122686167584014,0.18241006799091,0.0606495959749629,2.02286867062826,0.0474046668838481
"BurnRCA",-0.109468417178581,-0.121048453056196,0.0777362377141408,-1.40820318036395,0.164065730773109
"AgricultRC",0.117972886926501,0.142599655490878,0.0848691842946071,1.3900556239233,0.169482695846249
"WetlandsRC",-0.180894313366396,-0.0964597507623503,0.1371673057652,-1.31878593340637,0.192091272672285
