"","Variable","VIF"
"SLOPE","SLOPE",4.03849296392296
"Solar","Solar",5.62388912470152
"Elev","Elev",104.017473396552
"BFI","BFI",108.849471055041
"h2oDevelop","h2oDevelop",21.6423428985909
"h2oLakesPe","h2oLakesPe",7.6264084463259
"h2oAgricul","h2oAgricul",32.7986810641226
"h2oBurnPer","h2oBurnPer",22.0406223978908
"h2oRdDens","h2oRdDens",14.5813375555878
"h2oHiCascP","h2oHiCascP",10.0473356610214
"h2oWetland","h2oWetland",17.082893717035
"h2oVegCov","h2oVegCov",194.963515132366
"h2oVegHt","h2oVegHt",194.884498380318
"Forest21","Forest21",28.7884311826517
"Shrub21","Shrub21",14.873432462232
"h2oKm2","h2oKm2",12.7232934018206
"BurnRCA","BurnRCA",8.87522494004203
"AgricultRC","AgricultRC",18.0365146903536
"WetlandsRC","WetlandsRC",9.20886433319921
"LakesRCA","LakesRCA",41.2213068569265
"HiCascRCA","HiCascRCA",9.44828000920635
"DevelopRCA","DevelopRCA",28.672730635221
"RoadsRCA","RoadsRCA",10.4578989943279
"VegCover","VegCover",165.220806287189
"VegHeight_","VegHeight_",231.272404814847
"DevelopBuf","DevelopBuf",20.3751474041193
"AgBuf","AgBuf",11.2098886995117
"BurnBuf","BurnBuf",17.6617706824542
"WetlandBuf","WetlandBuf",6.79087848841797
"LakesBuf","LakesBuf",40.3712528303905
"HiCascBuf","HiCascBuf",5.63019737822556
"RoadsBuf","RoadsBuf",6.50454860894995
"VegHtBuf","VegHtBuf",118.970314995258
"VegCovBuf","VegCovBuf",123.526821758187
"MeanMaxAir","MeanMaxAir",537.740177559385
"MaxAir_C","MaxAir_C",322.997453543557
"Precip_mm","Precip_mm",3370.80384919585
"SumPrecip","SumPrecip",77.5848686723922
"MeanAirJJA","MeanAirJJA",177.557333495171
"WetPrecip","WetPrecip",3391.88727854096
