"","Variable","VIF"
"SLOPE","SLOPE",3.87778281007324
"Solar","Solar",5.54482196904484
"Elev","Elev",103.593074113553
"BFI","BFI",108.455462602889
"h2oDevelop","h2oDevelop",20.4520741865883
"h2oLakesPe","h2oLakesPe",7.39312720684687
"h2oAgricul","h2oAgricul",32.7366002266359
"h2oBurnPer","h2oBurnPer",21.9621011613742
"h2oRdDens","h2oRdDens",14.2179167142521
"h2oHiCascP","h2oHiCascP",9.95007788017795
"h2oWetland","h2oWetland",16.0350111607681
"h2oVegCov","h2oVegCov",182.795812481953
"h2oVegHt","h2oVegHt",193.942967740334
"Forest21","Forest21",26.824190374946
"Shrub21","Shrub21",14.8568754798914
"h2oKm2","h2oKm2",12.6125415539164
"BurnRCA","BurnRCA",8.78394894639701
"AgricultRC","AgricultRC",16.3715199377954
"WetlandsRC","WetlandsRC",4.55430164901848
"LakesRCA","LakesRCA",41.1904599526099
"HiCascRCA","HiCascRCA",9.26984438828709
"DevelopRCA","DevelopRCA",28.5148991926284
"RoadsRCA","RoadsRCA",10.4567066811656
"VegCover","VegCover",144.787317672163
"VegHeight_","VegHeight_",181.713964484
"DevelopBuf","DevelopBuf",18.8346893164039
"AgBuf","AgBuf",10.3799213822059
"BurnBuf","BurnBuf",16.9926248068411
"LakesBuf","LakesBuf",39.9816291500617
"HiCascBuf","HiCascBuf",5.61275156028974
"RoadsBuf","RoadsBuf",6.09489138601396
"VegHtBuf","VegHtBuf",89.6394642013026
"VegCovBuf","VegCovBuf",102.286644738853
"MeanMaxAir","MeanMaxAir",504.084209404079
"MaxAir_C","MaxAir_C",320.387188414685
"Precip_mm","Precip_mm",2856.15380014543
"SumPrecip","SumPrecip",63.7650962475889
"MeanAirJJA","MeanAirJJA",169.546690587246
"WetPrecip","WetPrecip",2907.7410648541
