"","SLOPE","Solar","h2oLakesPe","h2oRdDens","h2oHiCascP","h2oWetland","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","HiCascRCA","RoadsRCA","AgBuf","BurnBuf","WetlandBuf","HiCascBuf","RoadsBuf"
"SLOPE",1,0.165609093490343,-0.33314304093968,-0.0835993760746383,-0.0666704670763778,-0.215711194595095,-0.302160243800645,-0.75480076500652,-0.127102097849159,-0.323959207583536,-0.226171906465064,0.187807980207215,-0.330794537301347,-0.339202421260737,-0.0860074782403975,-0.201300825781532,0.131765099307558,-0.144774825497413
"Solar",0.165609093490343,1,-0.229365638606958,0.104875539353532,-0.332845580395797,0.189906710387735,-0.354409411565102,-0.166445565904881,-0.168903032926755,0.0946690413694792,-0.200034142829594,-0.497806475735909,-0.0921693819933522,0.0411965010633407,-0.149761979175593,-0.190666994549709,-0.381560992298595,0.0511300884421687
"h2oLakesPe",-0.33314304093968,-0.229365638606958,1,0.166750135508295,0.313543885265697,0.583826678288512,0.44050734354043,0.391335407289303,0.249835869933546,0.0749614539911818,0.234028280789598,0.210049119846086,0.10211360000251,0.0661380758429157,0.161809199950631,0.145781515914878,0.158178994587916,-0.109764786203418
"h2oRdDens",-0.0835993760746383,0.104875539353532,0.166750135508295,1,0.0905410469464038,0.423227256102801,-0.329155044763907,-0.079828926532634,-0.247589015326707,0.423710647426178,0.155617171599658,-0.0591718624580008,0.366256074333971,0.465165684368791,-0.240810199245654,0.244077651070707,-0.0270237667551098,0.27623579800388
"h2oHiCascP",-0.0666704670763778,-0.332845580395797,0.313543885265697,0.0905410469464038,1,-0.135603538046469,0.12559296996193,0.312281084908615,0.0498619403093012,-0.507829630443913,-0.188806045376489,0.714243580250112,0.210115310103634,-0.364014601217795,-0.0162221187550288,-0.0741093761919703,0.561233566522643,0.0999849538218946
"h2oWetland",-0.215711194595095,0.189906710387735,0.583826678288512,0.423227256102801,-0.135603538046469,1,-0.0570224477249691,0.0616943455397091,-0.161843430993208,0.515860003098639,0.358783648092377,-0.203581137344598,0.262007788101398,0.494355349793305,-0.132491088470638,0.289571453317536,-0.207413501778138,0.0495833582832742
"Shrub21",-0.302160243800645,-0.354409411565102,0.44050734354043,-0.329155044763907,0.12559296996193,-0.0570224477249691,1,0.372682397329244,0.499904850327385,-0.149002666935199,0.0606529770567566,0.12943914999842,-0.0592658115897092,-0.111355406696735,0.393093937631163,0.0408558762128281,0.112374632507803,-0.197771181728781
"h2oKm2",-0.75480076500652,-0.166445565904881,0.391335407289303,-0.079828926532634,0.312281084908615,0.0616943455397091,0.372682397329244,1,0.274921473537022,-0.0331186875593493,0.0838609595032021,-0.00212944500617891,0.331534983325561,0.0489212032908165,0.188381597532972,0.0369811649844908,-0.0146934128500388,0.0987342840646226
"BurnRCA",-0.127102097849159,-0.168903032926755,0.249835869933546,-0.247589015326707,0.0498619403093012,-0.161843430993208,0.499904850327385,0.274921473537022,1,-0.326657803689925,-0.159491420273714,-0.0407097394940559,-0.131526341041204,-0.239846373783173,0.818972902520723,-0.251232832496971,0.00990430919498329,-0.012737389751746
"AgricultRC",-0.323959207583536,0.0946690413694792,0.0749614539911818,0.423710647426178,-0.507829630443913,0.515860003098639,-0.149002666935199,-0.0331186875593493,-0.326657803689925,1,0.510076580634183,-0.430047684992222,0.204713591711383,0.835641683374163,-0.189925539117184,0.482818561289616,-0.35760708762452,-0.0532513872211104
"WetlandsRC",-0.226171906465064,-0.200034142829594,0.234028280789598,0.155617171599658,-0.188806045376489,0.358783648092377,0.0606529770567566,0.0838609595032021,-0.159491420273714,0.510076580634183,1,-0.106111764971259,0.40347526785765,0.482914944292012,-0.0113675153306619,0.892259929322813,-0.123634290325365,-0.000147194865604013
