"","SLOPE","h2oLakesPe","h2oRdDens","h2oHiCascP","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","HiCascRCA","RoadsRCA","AgBuf","BurnBuf","WetlandBuf","HiCascBuf","RoadsBuf","Azimuth","AbsAzimuth"
"SLOPE",1,-0.33314304093968,-0.0835993760746383,-0.0666704670763778,-0.75480076500652,-0.127102097849159,-0.323959207583536,-0.226171906465064,0.187807980207215,-0.330794537301347,-0.339202421260737,-0.0860074782403975,-0.201300825781532,0.131765099307558,-0.144774825497413,-0.122584541062119,-0.327806114187318
"h2oLakesPe",-0.33314304093968,1,0.166750135508295,0.313543885265697,0.391335407289303,0.249835869933546,0.0749614539911818,0.234028280789598,0.210049119846086,0.10211360000251,0.0661380758429157,0.161809199950631,0.145781515914878,0.158178994587916,-0.109764786203418,-0.0659720424072228,0.140763500926398
"h2oRdDens",-0.0835993760746383,0.166750135508295,1,0.0905410469464038,-0.079828926532634,-0.247589015326707,0.423710647426178,0.155617171599658,-0.0591718624580008,0.366256074333971,0.465165684368791,-0.240810199245654,0.244077651070707,-0.0270237667551098,0.27623579800388,-0.0938821448669507,-0.18342457934976
"h2oHiCascP",-0.0666704670763778,0.313543885265697,0.0905410469464038,1,0.312281084908615,0.0498619403093012,-0.507829630443913,-0.188806045376489,0.714243580250112,0.210115310103634,-0.364014601217795,-0.0162221187550288,-0.0741093761919703,0.561233566522643,0.0999849538218946,-0.0830165666500386,0.385994811838209
"h2oKm2",-0.75480076500652,0.391335407289303,-0.079828926532634,0.312281084908615,1,0.274921473537022,-0.0331186875593493,0.0838609595032021,-0.00212944500617891,0.331534983325561,0.0489212032908165,0.188381597532972,0.0369811649844908,-0.0146934128500388,0.0987342840646226,-0.064490196238146,0.306857464466065
"BurnRCA",-0.127102097849159,0.249835869933546,-0.247589015326707,0.0498619403093012,0.274921473537022,1,-0.326657803689925,-0.159491420273714,-0.0407097394940559,-0.131526341041204,-0.239846373783173,0.818972902520723,-0.251232832496971,0.00990430919498329,-0.012737389751746,-0.0288572891426984,0.298662655148257
"AgricultRC",-0.323959207583536,0.0749614539911818,0.423710647426178,-0.507829630443913,-0.0331186875593493,-0.326657803689925,1,0.510076580634183,-0.430047684992222,0.204713591711383,0.835641683374163,-0.189925539117184,0.482818561289616,-0.35760708762452,-0.0532513872211104,0.128130608488807,-0.172396580158668
"WetlandsRC",-0.226171906465064,0.234028280789598,0.155617171599658,-0.188806045376489,0.0838609595032021,-0.159491420273714,0.510076580634183,1,-0.106111764971259,0.40347526785765,0.482914944292012,-0.0113675153306619,0.892259929322813,-0.123634290325365,-0.000147194865604013,0.0973219153482871,0.0256318454596843
"HiCascRCA",0.187807980207215,0.210049119846086,-0.0591718624580008,0.714243580250112,-0.00212944500617891,-0.0407097394940559,-0.430047684992222,-0.106111764971259,1,-0.0230196453598733,-0.319954150445429,0.0336335212311942,-0.00769554699436726,0.875804465090232,-0.0665591607651605,-0.174230778776602,0.33594800487911
"RoadsRCA",-0.330794537301347,0.10211360000251,0.366256074333971,0.210115310103634,0.331534983325561,-0.131526341041204,0.204713591711383,0.40347526785765,-0.0230196453598733,1,0.330243537119642,-0.123590200437999,0.402936800112827,-0.0763557598311261,0.601216976234641,-0.0872704476383237,0.0569505758269036
"AgBuf",-0.339202421260737,0.0661380758429157,0.465165684368791,-0.364014601217795,0.0489212032908165,-0.239846373783173,0.835641683374163,0.482914944292012,-0.319954150445429,0.330243537119642,1,-0.0998723409039398,0.451643684376337,-0.266058569565922,0.0845302880448942,0.0328213249248977,-0.209185061904676
"BurnBuf",-0.0860074782403975,0.161809199950631,-0.240810199245654,-0.0162221187550288,0.188381597532972,0.818972902520723,-0.189925539117184,-0.0113675153306619,0.0336335212311942,-0.123590200437999,-0.0998723409039398,1,-0.103414645267988,0.131856711504583,0.00334842817759236,0.13599676058219,0.171010630730085
"WetlandBuf",-0.201300825781532,0.145781515914878,0.244077651070707,-0.0741093761919703,0.0369811649844908,-0.251232832496971,0.482818561289616,0.892259929322813,-0.00769554699436726,0.402936800112827,0.451643684376337,-0.103414645267988,1,-0.0259190354707966,0.0524452481314515,0.00463284252781561,0.0467839578456063
"HiCascBuf",0.131765099307558,0.158178994587916,-0.0270237667551098,0.561233566522643,-0.0146934128500388,0.00990430919498329,-0.35760708762452,-0.123634290325365,0.875804465090232,-0.0763557598311261,-0.266058569565922,0.131856711504583,-0.0259190354707966,1,0.00118450780874059,-0.21806535739936,0.341563121067465
"RoadsBuf",-0.144774825497413,-0.109764786203418,0.27623579800388,0.0999849538218946,0.0987342840646226,-0.012737389751746,-0.0532513872211104,-0.000147194865604013,-0.0665591607651605,0.601216976234641,0.0845302880448942,0.00334842817759236,0.0524452481314515,0.00118450780874059,1,-0.0533001799404185,-0.019107309133151
"Azimuth",-0.122584541062119,-0.0659720424072228,-0.0938821448669507,-0.0830165666500386,-0.064490196238146,-0.0288572891426984,0.128130608488807,0.0973219153482871,-0.174230778776602,-0.0872704476383237,0.0328213249248977,0.13599676058219,0.00463284252781561,-0.21806535739936,-0.0533001799404185,1,0.163824775507951
"AbsAzimuth",-0.327806114187318,0.140763500926398,-0.18342457934976,0.385994811838209,0.306857464466065,0.298662655148257,-0.172396580158668,0.0256318454596843,0.33594800487911,0.0569505758269036,-0.209185061904676,0.171010630730085,0.0467839578456063,0.341563121067465,-0.019107309133151,0.163824775507951,1
