"","Variable","VIF"
"SLOPE","SLOPE",3.96586050929811
"Elev","Elev",101.909707194923
"BFI","BFI",108.394391381147
"h2oDevelop","h2oDevelop",19.4562303826716
"h2oLakesPe","h2oLakesPe",7.40003663491388
"h2oAgricul","h2oAgricul",32.4867700299213
"h2oBurnPer","h2oBurnPer",21.9094933363506
"h2oRdDens","h2oRdDens",14.5157619924456
"h2oHiCascP","h2oHiCascP",9.07601894975584
"h2oWetland","h2oWetland",14.4937811938967
"h2oVegCov","h2oVegCov",174.730359979925
"h2oVegHt","h2oVegHt",187.636034211404
"Forest21","Forest21",27.9063959040231
"Shrub21","Shrub21",14.8142939994873
"h2oKm2","h2oKm2",12.5980792207738
"BurnRCA","BurnRCA",8.63828993029018
"AgricultRC","AgricultRC",16.2903992064965
"WetlandsRC","WetlandsRC",9.20880914069203
"LakesRCA","LakesRCA",40.7663877073977
"HiCascRCA","HiCascRCA",9.24090371085945
"DevelopRCA","DevelopRCA",25.5084213656434
"RoadsRCA","RoadsRCA",9.83237748025912
"VegCover","VegCover",156.513248657411
"VegHeight_","VegHeight_",229.541452725172
"DevelopBuf","DevelopBuf",18.3032074720364
"AgBuf","AgBuf",10.9286521633176
"BurnBuf","BurnBuf",17.1478892492754
"WetlandBuf","WetlandBuf",6.69540444284474
"LakesBuf","LakesBuf",40.1162636396925
"HiCascBuf","HiCascBuf",5.54719135622906
"RoadsBuf","RoadsBuf",6.42465063736887
"VegHtBuf","VegHtBuf",118.957952845166
"VegCovBuf","VegCovBuf",122.11813604677
"MeanMaxAir","MeanMaxAir",531.198441746263
"MaxAir_C","MaxAir_C",313.40378219152
"Precip_mm","Precip_mm",2845.97388955299
"SumPrecip","SumPrecip",63.1638829730976
"MeanAirJJA","MeanAirJJA",175.464273207766
"WetPrecip","WetPrecip",2943.93809600908
