Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
VegCovBuf,VegHtBuf,0.8504044643862273,0,0.8504044643862273,Very Strong,Positive
AgBuf,DevelopBuf,0.7861617755893837,4.440892098500626e-16,0.7861617755893837,Strong,Positive
meanStreamTemp,thermalSensitivity,0.7668164685783848,3.9968028886505635e-15,0.7668164685783848,Strong,Positive
AgBuf,meanAirTemp,0.7216751302825165,8.544276397515205e-13,0.7216751302825165,Strong,Positive
AgBuf,meanStreamTemp,0.6706189836292074,1.15991216631528e-10,0.6706189836292074,Strong,Positive
meanStreamTemp,VegHtBuf,-0.6483835482964547,7.370681842644444e-10,0.6483835482964547,Strong,Negative
DevelopBuf,LakesBuf,0.6315048074631014,2.7195534713087e-9,0.6315048074631014,Strong,Positive
meanStreamTemp,VegCovBuf,-0.6267718353628097,3.867109743538322e-9,0.6267718353628097,Strong,Negative
AgBuf,VegHtBuf,-0.624636690162631,4.5239598733815e-9,0.624636690162631,Strong,Negative
meanAirTemp,meanStreamTemp,0.5974015254944701,3.029102702001296e-8,0.5974015254944701,Strong,Positive
DevelopBuf,meanStreamTemp,0.5822141136559431,8.116114114109507e-8,0.5822141136559431,Moderate,Positive
DevelopBuf,VegHtBuf,-0.5759887375811517,1.1983275749472e-7,0.5759887375811517,Moderate,Negative
DevelopBuf,meanAirTemp,0.5542711623946316,4.3886827905126324e-7,0.5542711623946316,Moderate,Positive
HiCascBuf,meanStreamTemp,-0.5293995549413442,1.7409524157852019e-6,0.5293995549413442,Moderate,Negative
meanAirTemp,VegHtBuf,-0.5236805130874777,2.353759715134629e-6,0.5236805130874777,Moderate,Negative
AgBuf,VegCovBuf,-0.5046321036912954,6.1833127855681624e-6,0.5046321036912954,Moderate,Negative
meanAirTemp,VegCovBuf,-0.4859753230328102,1.5077734253576835e-05,0.4859753230328102,Moderate,Negative
HiCascBuf,thermalSensitivity,-0.4794946192899239,2.0304692552208792e-5,0.4794946192899239,Moderate,Negative
AgBuf,thermalSensitivity,0.4787381489022917,2.1014287639342655e-5,0.4787381489022917,Moderate,Positive
LakesBuf,meanStreamTemp,0.4536716495461979,6.27303643616628e-5,0.4536716495461979,Moderate,Positive
VegHtBuf,WetlandBuf,-0.45236264694284195,6.62640871893494e-5,0.45236264694284195,Moderate,Negative
AgBuf,WetlandBuf,0.45164368437633684,6.828249048496104e-5,0.45164368437633684,Moderate,Positive
DevelopBuf,thermalSensitivity,0.45060408132117535,7.130183124592904e-5,0.45060408132117535,Moderate,Positive
LakesBuf,VegHtBuf,-0.44560398407724044,8.762684399643561e-5,0.44560398407724044,Moderate,Negative
AgBuf,LakesBuf,0.43954401147305205,1.1202272097365906e-4,0.43954401147305205,Moderate,Positive
DevelopBuf,WetlandBuf,0.42722864591439225,1.8196913521606461e-4,0.42722864591439225,Moderate,Positive
DevelopBuf,VegCovBuf,-0.41133170009295283,3.313690372108713e-4,0.41133170009295283,Moderate,Negative
HiCascBuf,VegHtBuf,0.40329547920167985,4.436958111480038e-4,0.40329547920167985,Moderate,Positive
LakesBuf,WetlandBuf,0.39210167038005045,6.583466258149873e-4,0.39210167038005045,Moderate,Positive
thermalSensitivity,VegHtBuf,-0.37778599806931973,0.0010691565348903698,0.37778599806931973,Weak,Negative
LakesBuf,thermalSensitivity,0.37400756401057805,0.001210764942986664,0.37400756401057805,Weak,Positive
meanAirTemp,WetlandBuf,0.3548164391722445,0.002226779358711628,0.3548164391722445,Weak,Positive
VegCovBuf,WetlandBuf,-0.3394711385737101,0.003531230958916609,0.3394711385737101,Weak,Negative
meanAirTemp,thermalSensitivity,0.32741178814206023,0.00499454453155157,0.32741178814206023,Weak,Positive
meanStreamTemp,WetlandBuf,0.3154046348105826,0.006960770196991817,0.3154046348105826,Weak,Positive
BurnBuf,VegCovBuf,-0.29394251353425005,0.012204887737256476,0.29394251353425005,Weak,Negative
thermalSensitivity,VegCovBuf,-0.28992056183508985,0.013499645409836614,0.28992056183508985,Weak,Negative
RoadsBuf,VegCovBuf,-0.2880822637573893,0.014129919169520555,0.2880822637573893,Weak,Negative
HiCascBuf,LakesBuf,-0.2827267397123003,0.016112950698688344,0.2827267397123003,Weak,Negative
DevelopBuf,HiCascBuf,-0.28271678320151067,0.01611684948337455,0.28271678320151067,Weak,Negative
RoadsBuf,VegHtBuf,-0.27555764877644195,0.019138767551953872,0.27555764877644195,Weak,Negative
AgBuf,HiCascBuf,-0.2660585695659225,0.023886287150345797,0.2660585695659225,Weak,Negative
HiCascBuf,VegCovBuf,0.26101936989992786,0.026787218597198015,0.26101936989992786,Weak,Positive
meanAirTemp,RoadsBuf,0.2592709607680587,0.027860905429533567,0.2592709607680587,Weak,Positive
LakesBuf,meanAirTemp,0.2357239907251579,0.04622153285587549,0.2357239907251579,Weak,Positive
LakesBuf,VegCovBuf,-0.22921439892617862,0.05277224793505653,0.22921439892617862,Weak,Negative
DevelopBuf,RoadsBuf,0.17907899096339674,0.13228868882049305,0.17907899096339674,Very Weak,Positive
HiCascBuf,meanAirTemp,-0.15414420453896885,0.19607748516650125,0.15414420453896885,Very Weak,Negative
thermalSensitivity,WetlandBuf,0.140769789496879,0.23821899130645074,0.140769789496879,Very Weak,Positive
BurnBuf,LakesBuf,-0.14066211440569584,0.23858185066092563,0.14066211440569584,Very Weak,Negative
BurnBuf,HiCascBuf,0.13185671150458306,0.26955457397074545,0.13185671150458306,Very Weak,Positive
BurnBuf,DevelopBuf,-0.11754656171464486,0.3254234766295623,0.11754656171464486,Very Weak,Negative
LakesBuf,RoadsBuf,-0.10879504867743962,0.3629785263662053,0.10879504867743962,Very Weak,Negative
BurnBuf,WetlandBuf,-0.10341464526798809,0.38733205042301644,0.10341464526798809,Very Weak,Negative
AgBuf,BurnBuf,-0.09987234090393983,0.4038848711884495,0.09987234090393983,Very Weak,Negative
meanStreamTemp,RoadsBuf,0.09634893080938853,0.42075327932539563,0.09634893080938853,Very Weak,Positive
AgBuf,RoadsBuf,0.08453028804489415,0.4802035838817962,0.08453028804489415,Very Weak,Positive
BurnBuf,meanAirTemp,-0.0635563182506896,0.5958404874042986,0.0635563182506896,Very Weak,Negative
RoadsBuf,WetlandBuf,0.052445248131451475,0.6617301926118606,0.052445248131451475,Very Weak,Positive
BurnBuf,thermalSensitivity,-0.042142630868638814,0.7252208385693943,0.042142630868638814,Very Weak,Negative
BurnBuf,VegHtBuf,0.028844254966354684,0.8099286099153389,0.028844254966354684,Very Weak,Positive
HiCascBuf,WetlandBuf,-0.02591903547079662,0.8288961709379072,0.02591903547079662,Very Weak,Negative
BurnBuf,meanStreamTemp,0.01201699021996469,0.92019622277115,0.01201699021996469,Very Weak,Positive
RoadsBuf,thermalSensitivity,-0.009203320674332972,0.9388402238315607,0.009203320674332972,Very Weak,Negative
BurnBuf,RoadsBuf,0.0033484281775923563,0.9777298117727338,0.0033484281775923563,Very Weak,Positive
