Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
Precip_mm,WetPrecip,0.9954002283802692,0,0.9954002283802692,Very Strong,Positive
meanAirTemp,MeanMaxAir,0.9277497079826442,0,0.9277497079826442,Very Strong,Positive
MeanAirJJA,MeanMaxAir,0.9198739083583962,0,0.9198739083583962,Very Strong,Positive
MaxAir_C,MeanMaxAir,0.9196809109477782,0,0.9196809109477782,Very Strong,Positive
MeanAirJJA,meanAirTemp,0.9179972196605286,0,0.9179972196605286,Very Strong,Positive
MaxAir_C,SumPrecip,-0.8172636183797868,0,0.8172636183797868,Very Strong,Negative
MaxAir_C,meanAirTemp,0.8170927612782433,0,0.8170927612782433,Very Strong,Positive
MeanAirJJA,Precip_mm,-0.7941360953407208,0,0.7941360953407208,Very Strong,Negative
MeanAirJJA,WetPrecip,-0.7838429001077569,4.440892098500626e-16,0.7838429001077569,Strong,Negative
meanStreamTemp,thermalSensitivity,0.7668164685783848,3.9968028886505635e-15,0.7668164685783848,Strong,Positive
MaxAir_C,MeanAirJJA,0.7509046753622722,3.064215547965432e-14,0.7509046753622722,Strong,Positive
MeanMaxAir,Precip_mm,-0.7220837287099732,8.180123245438153e-13,0.7220837287099732,Strong,Negative
MeanMaxAir,WetPrecip,-0.7063222735094971,4.1744385725905886e-12,0.7063222735094971,Strong,Negative
meanAirTemp,Precip_mm,-0.6965384873162497,1.0890843782362936e-11,0.6965384873162497,Strong,Negative
MeanAirJJA,meanStreamTemp,0.6875768936816379,2.5366597711240502e-11,0.6875768936816379,Strong,Positive
meanAirTemp,WetPrecip,-0.6847743471125095,3.284128524683183e-11,0.6847743471125095,Strong,Negative
meanStreamTemp,WetPrecip,-0.6416183651690291,1.2558891704372854e-9,0.6416183651690291,Strong,Negative
meanStreamTemp,Precip_mm,-0.6290432884381475,3.2683931117105658e-9,0.6290432884381475,Strong,Negative
MeanMaxAir,SumPrecip,-0.6231082232980041,5.057966934174374e-9,0.6231082232980041,Strong,Negative
meanAirTemp,meanStreamTemp,0.5974015254944701,3.029102702001296e-8,0.5974015254944701,Strong,Positive
MaxAir_C,Precip_mm,-0.52931148173762,1.7491301060879039e-6,0.52931148173762,Moderate,Negative
MaxAir_C,WetPrecip,-0.5111697251395211,4.467879257674667e-6,0.5111697251395211,Moderate,Negative
thermalSensitivity,WetPrecip,-0.4988903929718069,8.180568918270126e-6,0.4988903929718069,Moderate,Negative
MeanMaxAir,meanStreamTemp,0.4895596368222036,1.2755929132524102e-5,0.4895596368222036,Moderate,Positive
Precip_mm,thermalSensitivity,-0.4891129581999647,1.3025879301631349e-5,0.4891129581999647,Moderate,Negative
meanAirTemp,SumPrecip,-0.45422294826328774,6.129499952622908e-5,0.45422294826328774,Moderate,Negative
SumPrecip,thermalSensitivity,0.4344204324449728,1.3738524200657132e-4,0.4344204324449728,Moderate,Positive
MeanAirJJA,thermalSensitivity,0.3893606096971082,7.236219488115925e-4,0.3893606096971082,Weak,Positive
MeanAirJJA,SumPrecip,-0.3720829245540956,0.0012892260335721772,0.3720829245540956,Weak,Negative
meanAirTemp,thermalSensitivity,0.32741178814206023,0.00499454453155157,0.32741178814206023,Weak,Positive
Precip_mm,SumPrecip,0.2393007060488605,0.04291729198062666,0.2393007060488605,Weak,Positive
meanStreamTemp,SumPrecip,0.23358767850740145,0.04829315783425914,0.23358767850740145,Weak,Positive
MaxAir_C,meanStreamTemp,0.21972614891402542,0.06366163817839343,0.21972614891402542,Weak,Positive
SumPrecip,WetPrecip,0.2106727568071795,0.07567918459500689,0.2106727568071795,Weak,Positive
MeanMaxAir,thermalSensitivity,0.20534221151587537,0.08356172363544734,0.20534221151587537,Weak,Positive
MaxAir_C,thermalSensitivity,-0.07225331320705052,0.5464096578772697,0.07225331320705052,Very Weak,Negative
