Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
BFI,Elev,0.8976897166241798,0,0.8976897166241798,Very Strong,Positive
Elev,meanStreamTemp,-0.8750814120900021,0,0.8750814120900021,Very Strong,Negative
BFI,meanStreamTemp,-0.8147332302299183,0,0.8147332302299183,Very Strong,Negative
BFI,thermalSensitivity,-0.7724074770534384,1.7763568394002505e-15,0.7724074770534384,Strong,Negative
meanStreamTemp,thermalSensitivity,0.7668164685783848,3.9968028886505635e-15,0.7668164685783848,Strong,Positive
Elev,thermalSensitivity,-0.6888688794659481,2.2497559371004172e-11,0.6888688794659481,Strong,Negative
Elev,meanAirTemp,-0.6317268835642327,2.674608090558195e-9,0.6317268835642327,Strong,Negative
meanAirTemp,meanStreamTemp,0.5974015254944701,3.029102702001296e-8,0.5974015254944701,Strong,Positive
meanStreamTemp,SLOPE,-0.540416247032922,9.585692026803372e-7,0.540416247032922,Moderate,Negative
BFI,meanAirTemp,-0.5351439369584777,1.27878306299678e-6,0.5351439369584777,Moderate,Negative
Elev,SLOPE,0.48394335623969986,1.656329193844286e-5,0.48394335623969986,Moderate,Positive
meanAirTemp,SLOPE,-0.43674910098535485,1.2526525667433397e-4,0.43674910098535485,Moderate,Negative
meanAirTemp,thermalSensitivity,0.32741178814206023,0.00499454453155157,0.32741178814206023,Weak,Positive
BFI,SLOPE,0.293816757033161,0.012243679322325285,0.293816757033161,Weak,Positive
SLOPE,thermalSensitivity,-0.28205644578558814,0.01637724288961051,0.28205644578558814,Weak,Negative
BFI,Solar,-0.2794695918049765,0.017432451573204943,0.2794695918049765,Weak,Negative
Elev,Solar,-0.22182017014843763,0.06111425403769721,0.22182017014843763,Weak,Negative
Solar,thermalSensitivity,0.20305213457716342,0.08714190897937946,0.20305213457716342,Weak,Positive
SLOPE,Solar,0.165609093490343,0.16444782744640896,0.165609093490343,Very Weak,Positive
meanAirTemp,Solar,0.12245738101621502,0.30547510286648105,0.12245738101621502,Very Weak,Positive
meanStreamTemp,Solar,0.11867145941242586,0.32078239939094066,0.11867145941242586,Very Weak,Positive
