Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
Precip_mm,WetPrecip,0.9954002283802692,0,0.9954002283802692,Very Strong,Positive
VegCover,VegHeight_,0.9420723372091153,0,0.9420723372091153,Very Strong,Positive
AgricultRC,h2oAgricul,0.9360143593495944,0,0.9360143593495944,Very Strong,Positive
h2oAgricul,h2oDevelop,0.9356359946214342,0,0.9356359946214342,Very Strong,Positive
meanAirTemp,MeanMaxAir,0.9277497079826442,0,0.9277497079826442,Very Strong,Positive
MeanAirJJA,MeanMaxAir,0.9198739083583962,0,0.9198739083583962,Very Strong,Positive
MaxAir_C,MeanMaxAir,0.9196809109477782,0,0.9196809109477782,Very Strong,Positive
MeanAirJJA,meanAirTemp,0.9179972196605286,0,0.9179972196605286,Very Strong,Positive
DevelopRCA,h2oDevelop,0.9148602670173172,0,0.9148602670173172,Very Strong,Positive
h2oVegCov,h2oVegHt,0.9061675992025211,0,0.9061675992025211,Very Strong,Positive
BFI,h2oDevelop,-0.898360633435193,0,0.898360633435193,Very Strong,Negative
BFI,Elev,0.8976897166241798,0,0.8976897166241798,Very Strong,Positive
WetlandBuf,WetlandsRC,0.8922599293228133,0,0.8922599293228133,Very Strong,Positive
AgricultRC,DevelopRCA,0.8904792804976606,0,0.8904792804976606,Very Strong,Positive
AgricultRC,h2oDevelop,0.8879296640408619,0,0.8879296640408619,Very Strong,Positive
HiCascBuf,HiCascRCA,0.8758044650902321,0,0.8758044650902321,Very Strong,Positive
Elev,meanStreamTemp,-0.8750814120900021,0,0.8750814120900021,Very Strong,Negative
h2oBurnPer,Shrub21,0.871427158117893,0,0.871427158117893,Very Strong,Positive
BFI,DevelopRCA,-0.8651155939903609,0,0.8651155939903609,Very Strong,Negative
BFI,h2oAgricul,-0.8594940634126232,0,0.8594940634126232,Very Strong,Negative
DevelopRCA,WetPrecip,-0.8586736694157102,0,0.8586736694157102,Very Strong,Negative
AgricultRC,WetPrecip,-0.8556349759189766,0,0.8556349759189766,Very Strong,Negative
DevelopRCA,h2oAgricul,0.8551790179788726,0,0.8551790179788726,Very Strong,Positive
DevelopRCA,Precip_mm,-0.851888022309938,0,0.851888022309938,Very Strong,Negative
VegCovBuf,VegHtBuf,0.8504044643862273,0,0.8504044643862273,Very Strong,Positive
AgricultRC,Precip_mm,-0.8481622585135646,0,0.8481622585135646,Very Strong,Negative
Forest21,h2oVegHt,0.847768065161043,0,0.847768065161043,Very Strong,Positive
Elev,WetPrecip,0.8467006549998278,0,0.8467006549998278,Very Strong,Positive
AgricultRC,BFI,-0.8460314761228444,0,0.8460314761228444,Very Strong,Negative
Forest21,h2oVegCov,0.8446163316815648,0,0.8446163316815648,Very Strong,Positive
DevelopBuf,DevelopRCA,0.8424394673398685,0,0.8424394673398685,Very Strong,Positive
h2oDevelop,WetPrecip,-0.8414918254172571,0,0.8414918254172571,Very Strong,Negative
