"siteID","startDate","endDate","totalDays","missingDays"
"20745675",2022-06-01,2022-09-30,122,0
"14210847",2022-06-01,2022-10-11,133,0
"20054503",2021-06-01,2021-10-01,123,0
"21162219",2022-06-17,2022-10-17,123,0
"21162215",2022-06-28,2022-10-04,99,0
"21162213",2022-05-03,2022-10-12,163,0
"21162212",2022-06-29,2022-10-03,97,0
"21162211",2022-05-03,2022-10-20,171,0
"20739670",2022-06-09,2022-10-17,131,0
"20739665",2022-06-09,2022-10-17,131,0
"20739664",2022-06-09,2022-10-17,131,0
"20739662",2022-06-09,2022-10-17,131,0
"11007912",2022-06-17,2022-10-04,110,0
"10598088",2022-06-24,2022-09-30,99,0
"10361309",2022-06-17,2022-10-17,123,0
"10598086",2022-06-28,2022-10-04,99,0
"10598085",2022-06-24,2022-09-30,99,0
"10598081",2022-06-24,2022-09-30,99,0
"10389420",2022-06-08,2022-10-03,118,0
"20863818",2022-06-08,2022-10-03,118,0
"20860458",2022-06-08,2022-09-29,114,0
"20860455",2022-06-08,2022-09-29,114,0
"20151812",2022-06-08,2022-09-29,114,0
"11007937",2022-07-08,2022-10-04,89,0
"21162217",2022-07-08,2022-10-17,102,0
"20733167",2022-06-28,2022-10-06,101,0
"20733161",2022-06-28,2022-10-06,101,0
"21378481",2022-06-28,2022-08-24,58,0
"20733164",2022-06-24,2022-10-14,113,0
"20941702",2022-06-17,2022-10-14,120,0
"10972320",2022-06-21,2022-10-01,103,0
"10792632",2022-06-21,2022-10-04,106,0
"20941696",2022-06-17,2022-10-14,98,22
"10972313",2022-06-19,2022-10-02,106,0
"20606616",2022-06-20,2022-10-07,110,0
"10792622",2022-06-22,2022-10-07,108,0
"20941691",2022-06-10,2022-10-07,120,0
"10808801",2022-06-20,2022-10-07,110,0
"10792623",2022-06-19,2022-10-02,106,0
"20606637",2022-06-08,2022-10-01,116,0
"10802049",2022-06-30,2022-10-04,97,0
"10972321",2022-06-29,2022-10-02,96,0
"10792619",2022-06-30,2022-10-01,94,0
"2400473",2022-05-30,2022-10-05,129,0
"10951006",2022-05-30,2022-10-05,129,0
"20012617",2022-06-20,2022-10-07,110,0
"20941701",2022-06-17,2022-10-14,120,0
"10792639",2022-08-13,2022-10-14,63,0
"20606608",2022-06-08,2022-10-01,107,9
"10802030",2022-06-21,2022-10-05,107,0
"10745923",2022-06-21,2022-10-04,106,0
"20733165",2022-06-20,2022-10-07,110,0
"10792413",2022-06-29,2022-10-02,96,0
"10972318",2022-06-30,2022-10-15,108,0
"20012624",2022-06-21,2022-10-01,103,0
"20606618",2022-06-08,2022-10-01,116,0
"20012618",2022-06-20,2022-10-07,110,0
"14209700",2022-06-01,2022-10-01,123,0
"14209710",2022-06-01,2022-10-01,123,0
"14210000",2022-06-01,2022-10-01,123,0
"14211010",2022-06-01,2022-10-01,123,0
"10933334",2022-06-01,2022-10-18,140,0
"20054489",2022-06-01,2022-10-18,140,0
"10933349",2022-06-01,2022-10-18,140,0
"10933332",2022-06-01,2022-10-17,139,0
"10933343",2022-06-01,2022-10-18,140,0
"10933352",2022-06-01,2022-10-17,139,0
"10933321",2022-06-01,2022-10-17,139,0
"20066256",2022-06-01,2022-10-01,123,0
"20054510",2022-06-01,2022-10-01,123,0
"20054506",2022-06-01,2022-10-01,123,0
"20054497",2022-06-01,2022-10-01,123,0
"20054516",2022-06-01,2022-10-01,123,0
"20054518",2022-06-01,2022-10-01,123,0
"20054501",2022-06-01,2022-10-01,123,0
"20510183",2022-06-01,2022-10-01,123,0
"20054494",2022-06-01,2022-10-01,123,0
