site,x,y,thermalSensitivity,intercept,rSquared,adjRSquared,rmse,meanStreamTemp,meanAirTemp,sdStreamTemp,sdAirTemp,minStreamTemp,maxStreamTemp,minAirTemp,maxAirTemp,rangeStreamTemp,rangeAirTemp
20941701,-122.44833,45.38392,0.266,15.071,0.448,0.439,0.913,20.808,21.573,1.219,3.07,17.502,22.2,14.528,29.466,4.698,14.938
20012624,-122.22673,45.20545,0.254,11.572,0.537,0.529,0.903,16.248,18.399,1.316,3.794,13.513,17.955,10.452,27.267,4.442,16.814
20941702,-122.22375,45.19813,0.395,9.642,0.77,0.767,0.825,16.914,18.399,1.708,3.794,13.603,20.376,10.452,27.267,6.773,16.814
10944386,-122.24727,45.237,0.363,9.952,0.738,0.733,0.714,16.613,18.373,1.383,3.275,13.903,19.371,11.041,26.235,5.468,15.194
10808789,-122.44763,45.38262,0.409,9.9,0.725,0.721,0.778,18.716,21.573,1.473,3.07,15.402,21.229,14.528,29.466,5.827,14.938
20739670,-122.46305,45.40452,0.298,11.922,0.602,0.595,0.748,18.145,20.859,1.175,3.056,15.428,19.957,13.845,29.065,4.529,15.22
20739665,-122.49387,45.38967,0.524,10.468,0.72,0.715,1.012,21.655,21.369,1.898,3.076,17.118,24.827,14.383,29.412,7.709,15.029
20739666,-122.4762,45.3576,0.526,9.508,0.747,0.743,0.948,20.864,21.573,1.87,3.07,16.679,24.063,14.528,29.466,7.384,14.938
20739679,-122.40907,45.29863,0.505,8.643,0.781,0.778,0.831,19.151,20.795,1.761,3.081,15.16,22.484,13.507,29.035,7.324,15.528
20739662,-122.36735,45.2515,0.47,8.312,0.785,0.781,0.753,17.533,19.624,1.611,3.037,13.776,20.65,12.165,27.769,6.874,15.604
20739664,-122.33108,45.19,0.316,7.692,0.768,0.765,0.547,13.469,18.301,1.127,3.13,11.2,15.985,10.944,26.116,4.785,15.171
20739661,-122.33047,45.20433,0.397,9.146,0.725,0.72,0.771,16.404,18.301,1.458,3.13,13.329,19.094,10.944,26.116,5.765,15.171
10808788,-122.30155,45.35368,0.436,11.458,0.681,0.676,0.914,20.004,19.622,1.605,3.04,16.231,22.749,12.36,27.813,6.518,15.453
9946236,-122.32695,45.37425,0.452,8.383,0.76,0.756,0.781,17.551,20.265,1.581,3.046,14.176,20.676,13.055,28.587,6.5,15.532
10808805,-122.41055,45.39362,0.449,9.666,0.77,0.766,0.755,19.333,21.544,1.561,3.052,15.784,22.154,14.431,29.379,6.37,14.947
10808801,-122.41122,45.39357,0.439,9.287,0.744,0.739,0.794,18.75,21.544,1.555,3.052,15.291,21.482,14.431,29.379,6.191,14.947
20606618,-122.40823,45.41688,0.372,10.336,0.78,0.776,0.606,17.993,20.608,1.281,3.045,14.995,20.611,13.527,28.861,5.616,15.334
10808797,-122.36005,45.40405,0.346,9.688,0.669,0.663,0.743,16.821,20.608,1.28,3.024,13.978,18.929,13.562,28.874,4.951,15.313
20941691,-122.08213,45.29243,0.221,9.2,0.733,0.728,0.582,13.04,17.345,1.117,4.318,10.844,15.257,8.458,26.575,4.413,18.118
20745666,-122.25647,45.29433,0.436,9.412,0.749,0.745,0.784,17.432,18.397,1.554,3.084,14.096,20.364,11.133,26.224,6.268,15.091
20745674,-122.29865,45.32375,0.479,8.722,0.758,0.754,0.83,18.124,19.622,1.673,3.04,14.261,21.333,12.36,27.813,7.072,15.453
2400469,-122.33817,45.3409,0.517,8.548,0.793,0.789,0.812,19.394,20.985,1.768,3.045,15.701,22.696,13.68,29.007,6.995,15.327
20941693,-122.38197,45.35093,0.452,10.917,0.76,0.756,0.777,20.592,21.422,1.574,3.038,17.336,23.465,14.232,29.214,6.129,14.981
20941696,-122.34935,45.33218,0.385,11.882,0.681,0.676,0.808,19.96,20.985,1.42,3.045,16.993,22.621,13.68,29.007,5.628,15.327
2400475,-122.23902,45.26438,0.402,7.673,0.782,0.778,0.701,15.057,18.373,1.489,3.275,12.147,18.398,11.041,26.235,6.251,15.194
2400472,-122.0847,45.30848,0.218,6.96,0.588,0.581,0.797,10.75,17.345,1.231,4.318,8.871,13.711,8.458,26.575,4.84,18.118
10808799,-122.24215,45.32027,0.451,8.346,0.751,0.747,0.812,16.598,18.284,1.614,3.099,13.078,19.879,11.177,26.328,6.801,15.151
20012617,-122.28133,45.32705,0.329,11.33,0.481,0.465,0.647,17.81,19.712,0.884,1.866,15.576,19.343,16.18,23.752,3.767,7.572
2400473,-122.28082,45.328,0.456,8.042,0.759,0.755,0.787,16.987,19.622,1.591,3.04,13.609,20.116,12.36,27.813,6.507,15.453
21080890,-122.23058,45.30138,0.147,11.517,0.436,0.427,0.519,14.217,18.397,0.685,3.084,12.706,15.396,11.133,26.224,2.69,15.091
10745923,-122.24747,45.30423,0.434,7.645,0.791,0.787,0.695,15.639,18.397,1.507,3.084,12.37,18.905,11.133,26.224,6.535,15.091
10951006,-122.14853,45.3377,0.317,8.268,0.691,0.686,0.776,14.042,18.24,1.385,3.637,11.705,17.009,10.452,27.007,5.304,16.556
20820418,-122.29789,45.2532,0.165,15.561,0.253,0.24,0.894,18.663,18.8,1.026,3.125,16.179,19.779,11.405,26.784,3.6,15.379
20733156,-122.38411,45.31876,0.19,15.75,0.317,0.305,0.855,19.821,21.422,1.026,3.038,16.892,20.925,14.232,29.214,4.033,14.981
20733159,-122.38532,45.35086,0.214,15.572,0.368,0.358,0.86,20.166,21.422,1.073,3.038,17.137,21.252,14.232,29.214,4.115,14.981
20745675,-122.19567,45.27749,0.397,9.1,0.776,0.772,0.732,16.267,18.053,1.534,3.404,12.953,19.203,10.73,26.307,6.25,15.577
10361312,-122.1118,45.29881,0.271,9.464,0.736,0.731,0.654,14.291,17.79,1.263,3.991,11.847,16.917,9.477,26.743,5.07,17.266
20151806,-122.06197,45.0306,0.367,10.981,0.728,0.724,0.832,18.271,19.887,1.583,3.685,14.859,21.061,11.954,27.933,6.202,15.979
10389421,-122.00661,44.89618,0.258,9.607,0.718,0.713,0.654,14.494,18.949,1.221,4.012,11.908,16.471,10.099,26.9,4.563,16.801
10361311,-122.06679,44.98516,0.293,12.286,0.67,0.664,0.806,18.02,19.57,1.391,3.885,14.832,19.871,11.327,27.713,5.039,16.386
20151803,-122.11713,45.15913,0.188,9.976,0.693,0.688,0.498,13.545,18.977,0.892,3.948,11.725,15.206,10.739,27.859,3.481,17.12
20860458,-122.15219,45.1572,0.368,12.265,0.78,0.777,0.771,19.2,18.837,1.631,3.913,15.903,22.292,10.691,27.828,6.389,17.136
20860456,-122.15329,45.15071,0.36,12.237,0.782,0.778,0.752,19.024,18.837,1.595,3.913,15.786,22.014,10.691,27.828,6.228,17.136
10598081,-122.16504,45.06711,0.289,10.299,0.771,0.767,0.653,15.763,18.885,1.353,4.106,13.214,18.672,10.587,28.167,5.458,17.58
10332826,-121.87671,44.97007,0.03,6.328,0.502,0.494,0.114,6.916,19.528,0.161,3.789,6.567,7.226,12.058,26.747,0.659,14.69
10547224,-121.89316,44.90586,0.201,7.77,0.669,0.664,0.572,11.539,18.748,0.987,4.016,9.414,13.159,10.242,26.384,3.745,16.142
10933321,-122.07464,45.11489,0.185,10.538,0.448,0.439,0.814,14.125,19.359,1.086,3.922,11.869,16.027,10.714,28.15,4.158,17.436
10933324,-121.88642,44.87895,0.12,6.538,0.676,0.67,0.342,8.791,18.781,0.595,4.08,7.513,9.798,10.096,26.504,2.285,16.408
10933332,-122.06182,45.03072,0.363,10.938,0.721,0.716,0.839,18.155,19.887,1.575,3.685,14.672,20.812,11.954,27.933,6.14,15.979
10933334,-121.80718,44.85973,0.033,4.274,0.643,0.637,0.097,4.83,16.892,0.16,3.906,4.511,5.109,8.431,25.026,0.598,16.595
10933343,-121.8964,44.92511,0.16,7.563,0.614,0.607,0.505,10.492,18.312,0.806,3.946,8.774,11.981,9.892,26.049,3.207,16.157
